Ημερομηνία,Τίτλος,Link,Κρίσιμο
07/10/2023,Εναρξη της γενοκτονιας — ολοκληρωτικος βομβαρδισμος Γαζας,https://www.aljazeera.com/news/2025/10/7/two-years-of-israels-genocide-in-gaza-by-the-numbers,ΝΑΙ
13/10/2023,Εκκενωση 1.1 εκ. Παλαιστινιων προς νοτο — αδυνατη η μετακινηση,https://www.unrwa.org/newsroom/press-releases/unrwa-situation-report-1-situation-gaza,ΝΑΙ
17/10/2023,Εκρηξη νοσοκομειου Al-Ahli — εκατονταδες νεκροι,https://www.aljazeera.com/news/2023/10/18/what-do-we-know-about-the-strike-on-the-hospital-in-gaza,ΝΑΙ
21/10/2023,Πρωτα φορτηγα βοηθειας μπαινουν στη Γαζα — ανεπαρκη,https://www.unrwa.org,ΟΧΙ
27/10/2023,Χερσαια εισβολη — 36ωρη διακοπη τηλεπικοινωνιων,https://www.aljazeera.com/news/2023/10/27/israel-launches-ground-invasion-of-gaza,ΝΑΙ
04/11/2023,Ολοκληρωτικη πολιορκια βορειας Γαζας,https://www.doctorswithoutborders.org/latest/timeline-bearing-witness-genocide-gaza,ΝΑΙ
15/11/2023,Εισβολη σε νοσοκομειο Al-Shifa — MSF καταδικαζει,https://www.doctorswithoutborders.org/latest/timeline-bearing-witness-genocide-gaza,ΝΑΙ
24/11/2023,Προσωρινη εκεχειρια — ανταλλαγη ομηρων,https://www.aljazeera.com/news/2023/11/24/israel-hamas-truce-begins,ΟΧΙ
01/12/2023,Καταρρευση εκεχειριας — συνεχιση βομβαρδισμων,https://www.aljazeera.com/news/2023/12/1/israel-hamas-ceasefire-collapses,ΝΑΙ
06/12/2023,Νοτια Αφρικη κατατιθει αγωγη γενοκτονιας στο ΔΔΔ,https://www.aljazeera.com/news/2023/12/29/south-africa-files-genocide-case-against-israel-at-icj,ΝΑΙ
18/12/2023,ΟΗΕ ψηφιζει εκεχειρια — ΗΠΑ βαζουν βετο,https://www.aljazeera.com/news/2023/12/8/un-security-council-vote-ceasefire-us-veto,ΝΑΙ
29/12/2023,Νοτια Αφρικη — αιτηση ασφαλιστικων μετρων στο ΔΔΔ,https://www.aljazeera.com/news/2023/12/29/south-africa-files-genocide-case-against-israel-at-icj,ΝΑΙ
26/01/2024,ΔΔΔ διατασσει Ισραηλ να αποτρεψει πραξεις γενοκτονιας,https://www.aljazeera.com/news/2024/1/26/icj-orders-israel-to-prevent-acts-of-genocide-in-gaza,ΝΑΙ
29/01/2024,UNRWA — 18 κρατη αναστελλουν χρηματοδοτηση χωρις αποδειξεις,https://www.unrwa.org/newsroom/press-releases/unrwa-deeply-concerned-suspension-funding,ΝΑΙ
12/02/2024,Ισραηλ ανακοινωνει εισβολη στη Rafah — 1.5 εκ. εκτοπισμενοι,https://www.aljazeera.com/news/2024/2/12/israel-announces-rafah-offensive,ΝΑΙ
01/03/2024,Σφαγη στην ουρα για βοηθεια — Flour Massacre 100+ νεκροι,https://www.aljazeera.com/news/2024/3/1/israel-opens-fire-on-aid-seekers-in-gaza,ΝΑΙ
25/03/2024,ΣΑ ΟΗΕ ψηφιζει εκεχειρια — Ισραηλ αγνοει,https://www.aljazeera.com/news/2024/3/25/un-security-council-passes-ceasefire-resolution,ΝΑΙ
01/04/2024,Ισραηλ σκοτωνει 7 εργαζομενους World Central Kitchen,https://www.aljazeera.com/news/2024/4/2/world-central-kitchen-workers-killed-in-israeli-strike,ΝΑΙ
24/05/2024,ΔΔΔ διατασσει διακοπη επιθεσης στη Rafah — Ισραηλ αρνειται,https://www.aljazeera.com/news/2024/5/24/icj-orders-israel-to-halt-rafah-offensive,ΝΑΙ
20/05/2024,ΔΠΔ ζητα εντας συλληψης Νετανιαχου για εγκληματα πολεμου,https://www.aljazeera.com/news/2024/5/20/icc-prosecutor-seeks-arrest-warrants-for-netanyahu,ΝΑΙ
07/05/2024,Ισραηλ καταλαμβανει τη διαβαση Rafah — αποκλεισμος βοηθειας,https://www.middleeasteye.net/news/israel-seizes-rafah-crossing,ΝΑΙ
12/06/2024,MSF — νοσοκομειο Nasser εκτος λειτουργιας μετα απο επιθεση,https://www.doctorswithoutborders.org/latest/timeline-bearing-witness-genocide-gaza,ΝΑΙ
19/07/2024,ΔΔΔ — παρανομη η ισραηλινη κατοχη παλαιστινιακων εδαφων,https://www.aljazeera.com/news/2024/7/19/icj-rules-israels-occupation-of-palestinian-territories-illegal,ΝΑΙ
17/09/2024,ΟΗΕ — Ισραηλ εχει διαπραξει γενοκτονια στη Γαζα,https://www.aljazeera.com/news/2025/9/16/first-head-of-united-nations-body-declares-israels-gaza-war-a-genocide,ΝΑΙ
21/11/2024,ΔΠΔ εκδιδει εντας συλληψης Νετανιαχου,https://www.aljazeera.com/news/2024/11/21/icc-issues-arrest-warrant-for-netanyahu,ΝΑΙ
02/12/2024,Amnesty International — Ισραηλ διαπραττει γενοκτονια,https://www.aljazeera.com/news/2024/12/5/amnesty-international-says-israel-is-committing-genocide-in-gaza,ΝΑΙ
19/01/2025,Εκεχειρια φαση 1 — ανταλλαγη ομηρων και κρατουμενων,https://www.aljazeera.com/news/2025/1/19/israel-hamas-ceasefire-deal,ΟΧΙ
28/01/2025,Ισραηλ απαγορευει λειτουργια UNRWA — παρανομα,https://www.unrwa.org/newsroom/press-releases/israel-bans-unrwa,ΝΑΙ
02/03/2025,Ισραηλ διακοπτει ολη τη βοηθεια στη Γαζα,https://www.aljazeera.com/news/2025/3/2/israel-blocks-all-aid-to-gaza,ΝΑΙ
18/03/2025,Ισραηλ παραβιαζει εκεχειρια — 400 νεκροι σε μια μερα,https://www.aljazeera.com/news/2025/3/18/israel-resumes-war-kills-400,ΝΑΙ
24/05/2025,Σφαγη σε σκηνοπολη Rafah — εκατονταδες νεκροι,https://www.aljazeera.com/news/2025/5/24/israeli-strike-kills-hundreds-in-rafah-tent-camp,ΝΑΙ
